perimetro,area,DPA_PARROQ,DPA_DESPAR,Area ha,Parroquia,COD,PIT,CLASIFICAC,SUBCLASIFI,NIVEL_USO,PIT_TRATAM,ACT_GENERA,USO_GENERA,SECTOR,COD_UE,SUBCLAS_UR,COD_PARR,ubicacion,tratamient,densidad,area_2,codigo,zona,LOTE_MIN,DENS_PROP,ALTURA_MAX,SUBCLASS,area_m2
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,5.328385842057452,,RU,"0",,"0",PRODUCCION,53283.8569
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,11.783098723411333,,RU,"0",,"0",PRODUCCION,117830.9878
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03,AREA AGRICOLA,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,71.652008138570707,,RU,"0",,"0",PRODUCCION,716520.0776
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03,AREA AGRICOLA,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,11.891885946203969,,RU,"0",,"0",PRODUCCION,118918.8608
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03,AREA AGRICOLA,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,5.162822015099568,,RU,"0",,"0",PRODUCCION,51628.2217
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03,AREA AGRICOLA,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,7.211223069209720,,RU,"0",,"0",PRODUCCION,72112.2324
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03,AREA AGRICOLA,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,1.027662345729458,,RU,"0",,"0",PRODUCCION,10276.6226
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03,AREA AGRICOLA,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,0.450642001566973,,RU,"0",,"0",PRODUCCION,4506.4199
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03,AREA AGRICOLA,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,20.366974653425743,,RU,"0",,"0",PRODUCCION,203669.7451
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03,AREA AGRICOLA,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,35.674120057607503,,RU,"0",,"0",PRODUCCION,356741.2002
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03,AREA AGRICOLA,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,111.976666994852167,,RU,"0",,"0",PRODUCCION,1119766.6675
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03,AREA AGRICOLA,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010155",,,,3.664132463863605,,RU,"0",,"0",PRODUCCION,36641.3242
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P03_01,AREA AGRICOLA SOSTENIBLE,RURAL,PRODUCCION,AGRICOLA,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,127.843313764036452,,RU,"0",,"0",PRODUCCION,1278433.1416
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P04,AREA AGROFORESTAL,RURAL,PRODUCCION,AGROFORESTAL,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,208.630022552046029,,RU,"0",,"0",PRODUCCION,2086300.2300
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P04,AREA AGROFORESTAL,RURAL,PRODUCCION,AGROFORESTAL,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,9.152219875000494,,RU,"0",,"0",PRODUCCION,91522.1958
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P04,AREA AGROFORESTAL,RURAL,PRODUCCION,AGROFORESTAL,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010167",,,,87.627978200890013,,RU,"0",,"0",PRODUCCION,876279.7900
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR03,AREA DE CONSERVACION Y USO SUSTENTABLE,RURAL,PROTECCION,ACUS,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010165",,,,5.727517352214760,,RU,"0",,"0",PROTECCION,57275.1748
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR04,BOSQUES PROTECTORES (Que no coinciden con otro PIT),RURAL,PROTECCION,BOSQUES PROTECTORES,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010167",,,,6.049103975570906,,RU,"0",,"0",PROTECCION,60491.0415
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR06,AREA DE INTERES AMBIENTAL Y PAISAJISTICO,RURAL,PROTECCION,AREAS DE INTERES AMBIENTAL Y/O PAISAJISTICO,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010167",,,,11.796244724305676,,RU,"0",,"0",PROTECCION,117962.4487
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR06,AREA DE INTERES AMBIENTAL Y PAISAJISTICO,RURAL,PROTECCION,AREAS DE INTERES AMBIENTAL Y/O PAISAJISTICO,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010167",,,,48.197037896211889,,RU,"0",,"0",PROTECCION,481970.3774
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR06,AREA DE INTERES AMBIENTAL Y PAISAJISTICO,RURAL,PROTECCION,AREAS DE INTERES AMBIENTAL Y/O PAISAJISTICO,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010167",,,,98.688345548131508,,RU,"0",,"0",PROTECCION,986883.4487
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR06,AREA DE INTERES AMBIENTAL Y PAISAJISTICO,RURAL,PROTECCION,AREAS DE INTERES AMBIENTAL Y/O PAISAJISTICO,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010165",,,,0.031408569304927,,RU,"0",,"0",PROTECCION,314.0835
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR06,AREA DE INTERES AMBIENTAL Y PAISAJISTICO,RURAL,PROTECCION,AREAS DE INTERES AMBIENTAL Y/O PAISAJISTICO,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010165",,,,0.058707206449360,,RU,"0",,"0",PROTECCION,587.0742
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR06,AREA DE INTERES AMBIENTAL Y PAISAJISTICO,RURAL,PROTECCION,AREAS DE INTERES AMBIENTAL Y/O PAISAJISTICO,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010165",,,,0.030618366859383,,RU,"0",,"0",PROTECCION,306.1826
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,PR06,AREA DE INTERES AMBIENTAL Y PAISAJISTICO,RURAL,PROTECCION,AREAS DE INTERES AMBIENTAL Y/O PAISAJISTICO,CONSERVACION,CONSERVACION,PROTECCION ECOLOGICA,,,,"010155",,,,4.368292748810229,,RU,"0",,"0",PROTECCION,43682.9268
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P04,AREA AGROFORESTAL,RURAL,PRODUCCION,AGROFORESTAL,PROMOCION PRODUCTIVA,PRODUCTIVAS,AGROPECUARIO,,,,"010155",,,,415.941524828702427,,RU,"0",,"0",PRODUCCION,4159415.2607
